# cycle och pass data
1366 3 0 4027652818
1367 4 0 974379108
1368 5 0 -915299160
1369 6 0 76589880
1370 7 0 -1838081643
1371 8 0 304372240
1372 9 0 -971918402
1373 10 0 -748475008
1374 11 0 -2308586679
1375 12 0 -1822805602
1376 13 0 183555354
1377 14 0 148096921
1378 15 0 1913502602
1383 0 0 1079771136
1384 1 0 694327805
1385 2 0 2230893712
1386 3 0 -2171560022
1387 4 0 -404745010
1388 5 0 -1645078921
1389 6 0 -859456225
1390 7 0 1188731088
1391 8 0 -1846182354
1392 9 0 -581373038
1393 10 0 550143228
1394 11 0 155035984
1395 12 0 -500916950
1396 13 0 -745375169
1397 14 0 227947670
1398 15 0 1020145441
1403 0 0 -2603745280
1404 1 0 -912004622
1405 2 0 1219061848
1406 3 0 1175784930
1407 4 0 -219674904
1408 5 0 3301054135
1409 6 0 -229359156
1410 7 0 -1545642737
1411 8 0 -2822130902
1412 9 0 1402185502
1413 10 0 624743273
1414 11 0 4087269216
1415 12 0 -128780052
1416 13 0 3115741259
1417 14 0 3299567054
1418 15 0 1784798862
1423 0 0 -2479292416
1424 1 0 1302393138
1425 2 0 -1042717692
1426 3 0 -907298535
1427 4 0 -1237691278
1428 5 0 -602985976
1429 6 0 388357626
1430 7 0 420311875
1431 8 0 -2662055169
1432 9 0 -1448699170
1433 10 0 -1528971218
1434 11 0 -1242418963
1435 12 0 1181603845
1436 13 0 1964041607
1437 14 0 624119673
1438 15 0 1148241659
1443 0 0 2461106176
1444 1 0 -52701607
1445 2 0 1685006874
1446 3 0 -242239373
1447 4 0 -872720415
1448 5 0 1483703978
1449 6 0 -665381649
1450 7 0 -2048059892
1451 8 0 -1578012351
1452 9 0 2032452274
1453 10 0 -4702871036
1454 11 0 -1199698854
1455 12 0 1629044886
1456 13 0 -115759887
1457 14 0 -3342636891
1458 15 0 -104060793
1463 0 0 5412913152
1464 1 0 322369834
1465 2 0 2799247243
1466 3 0 570173704
1467 4 0 -1614895544
1468 5 0 2307429689
1469 6 0 -1154708656
1470 7 0 -611071242
1471 8 0 1832882281
1472 9 0 -512890981
1473 10 0 1631511181
1474 11 0 1450740045
1475 12 0 824051372
1476 13 0 -882042047
1477 14 0 -2749334428
1478 15 0 -314702860
1483 0 0 2978512896
1484 1 0 628314543
1485 2 0 1173419403
1486 3 0 1421816995
1487 4 0 594352416
1488 5 0 805579891
1489 6 0 1275343835
1490 7 0 -642321735
1491 8 0 -1364808706
1492 9 0 -3212291856
